content,stars,title
"
Pertama kali saya stay di aston semarang. Hotel baru yg terletak di dekat kota lama. Pastry item pada saat breakfast sangat enak. Staff yg ramah dan dengan warm welcome dari manager on duty. Kamar cukup nyaman. Perlu ditambahkan smoking area di lobby.
",5 dari 5 lingkaran,Hotel baru dengan service yg memuaskan
"
Kami memang tidak merencanakan menginap di hotel ini karena sudah memiliki beberapa hotel favorit untuk menginap karena kami sering ke Semarang.Tapi karena kámi datang dengn bus dan sulit mencari taxi pada dini hari di kota ini dan hotel terdekat adalah aston maka kami memutuskan untuk menginap di sini sementara waktu.Kami datang sekitar jam 3 dini hari tgl 19/5/15;dan menanyakan apakah kami bisa chek in saat itu.Resepsionis menawarkan rate harga sktr 600rb an utk hari tsb.Kami bertanya apa kami harus membayar utk tgl 18 dan check out tgl 19 menyadari kami datang dini hari yang biasanya terkena early check in..atau tgl 19 check out tgl 20 karena resepsionis bilang bisa langsung check in tanpa menyinggung adanya early check in.Dia mengatakan bahwa pesan tgl 19 check out 20 saja;jadi kami memesan lewat agoda saat itu juga..Akhirnya kita bisa beristirahat...Tapi ketika kami hendak check out tgl 20 pihak hotel menyatakan bahwa kami harus membayar yang tanggal 18/5 karena adanya early check in yang sama sekali tidak disinggung oleh pihak resepsionis...saya jelaskan kejadiannya pada pihak hotel dan dia merasa bersalah dan akan mengurangi 50% dari harga semalam..ketika kami membayarnya kami hrs membayar sktr 475rban.Saya bertánya lagi kenapa jadi 475rb?Dia menjawab karena rate harganya 1juta lebih..Padahal saya diberitahu sama resepsionis tgl 19/5 rate harganya 600an kalo pembayaran lgs di situ tanpa lewat agoda.Saya sudah capai berdebat lagi.Toh pasti pihak hotel yang selalu benar.Bagi yang mau menginap di Aston sebelum jam check in harap diperhatikan...karena saya telah menginap di beberapa hotel di semarang dan selalu datang dini hari.Mereka selalu memberitahukan adanya charge early check in.",1 dari 5 lingkaran,Merasa tertipu
"
Saya menginap 2 malam disini bersama rombongan kantor untuk mengadakan acara di suatu Universitas di Semarang. Ada hal yang cukup mengecewakan untuk kami, yaitu pada saat salah satu bos kami sedang beristirahat di Kamarnya, tiba-tiba ada seseorang yang tidak dikenal masuk ke kamar dengan kuncinya sendiri. setelah ditelusuri ternyata resepsionis hotel memberikan nomor kamar dan kunci yang salah sehingga bisa masuk ke dalam kamar bos kami. suatu pengalaman yang cukup mengecewakan untuk kami semua. Kami mengapresiasi Manager On Duty yang sudah memberikan penjelasan dan klarifikasi kepada kami. Semoga kedepannya tidak ada kejadian yang sama terulang kembali.
",2 dari 5 lingkaran,Hotel yg perlu ditingkatkan pelayanannya
"
Nyaman, bersih, tidak bising.",4 dari 5 lingkaran,Hotel Bagus
"
Tidak ada yang istimewa. Saya memesan kamar single. Cukup untuk sendiri. Yang bagus dari hotel ini adalah letaknya yang persis di depan Paragon Mall, hanya jalan kaki beberapa langkah. Saat ada promo harganyapun murah.
",3 dari 5 lingkaran,"Lumayan untuk istirahat, yang bagus Lokasinya"
"
Saya tidak sempat booking via aplikasi manapun karena terburu2 jadi saya langsung checkin di hotelnya. Anehnya hotel ini masih menerapkan sistem deposit padahal kamar sudah saya bayar chash. ",3 dari 5 lingkaran,Sekedar singgah sudah oke
"
Saya menginap di hotel ini dalam rangka studi banding ke inspektorat jawa tengah.",4 dari 5 lingkaran,Menu breakfastnya enak-enak
"
Menginap selama 2 malam di Whiz Semarang. Mendapatkan kamar di 402. Kamar dalam kondisi bersih, dengan segala fasilitas yang baik, terkecuali AC yang agak kurang dingin sedikit. Parket lantai ada yang sedikit rusak tapi tidak terlalu terlihat. Air dalam keadaan baik. ",4 dari 5 lingkaran,Hotel yang Value For Money
"
hotel yang terlihat masih baru dengan swimingpool dipuncak gedung dengan pemandangan yang luar biasa , very nice, room cukup besar dan interior masih baru, bed besar jadi tidur pun nyaman, saya menginap 19 juni dan kebetulan mendapat kamar dengan view simpang lima. di dekat hotel banyak street kuliner yang buka sampai dini hari yang menyediakan makanan khas semarang. very good
",5 dari 5 lingkaran,wow
"
Menginap selama dua hari di Hotel ini sangat memuaskan, meski kamar yangs aya gunakan adalah tipe 1 single bed, namun kenyamanan dan kenikmatan bermalam di hotel ini tidak perlu diragukan. selain karena kebersihan, keramahan dan kesigapan petugas hotel juga rasa dari masakan yang cukup memuaskan. pada saat datang disambut oleh welcome drink yang bercitarasa tradisional, sungguh sangat menarik
",4 dari 5 lingkaran,Budget Hotel yang Menarik
"
Hari minggu tanggal 17 Juli ,menginap semalam di Louis Kienne di room 907,pertama kali masuk Lobby nya disambut dengan ramah sama petugas hotelnya,saat ke kamar sangat luas dan bersih wangi. Viewnya menghadap simpang lima.sorenya saya ke lantai 23 ternyata keren bangettt ada kolam renang,cafe,gym,dan bisa berselvie sama keluarga,viewnya OK-TOP-KEREN ,pas kebetulan liat sunset..
",5 dari 5 lingkaran,wekend ke semarang
"
Ibis Semarang Simpang Lima, adalah hunian di pusat kota yang nyaman. Dekat kemana mana. Staff hotelnya ramah, menu makanannya banyak pilihan, check in dan check out cepat. Dan kamarnyapun cukup luas, bersih dan rapi untuk harga yang ditawarkan. Hotel keluarga pilihan laa.
",4 dari 5 lingkaran,"Dekat kemana mana, terutama kalau pingin makan lumpia."
"
Disini untuk transit. ",1 dari 5 lingkaran,Pusing fasilitas di hotel ini
"
Kami mendapat kamar yang letaknya terpisah dari gedung utama (lupa no. kamar berapa) sehingga menggunakan elevator khusus. Elevator ini harus ditap menggunakan kartu agar dapat digunakan. Kami mengalami masalah untuk tapping, kami mencoba berbagai kemungkinan mentapping kartu di beberapa titik ternyata gagal, sampai ada pengunjung lain yang datang dan menggunakan kartunya dengan baik. Ternyata kartu yang ada di saya error, tidak bisa digunakan sehingga harus kembali ke recepsionis. Agak kesal sih, karena badan sudah lelah dan harus bolak bolaki resepsionis elevator yang letaknya agak jauh.
",4 dari 5 lingkaran,Elevator problem
"
Kamar nya kecil tetapi cukup ok. meskipun tidak bersih2 amat. Lokasi hotel sangat strategis. Parkirannya sempit. Loby kecil. Cukuplah kl utk 1-2 malam business trip. Yg saya ingin soroti adalah kualitas breakfastnya yg sangat jelek utk ukuran bintang 3-4. Ruang makan kecil skl spt kantin sekolah. Rasa makanannya tidak enak. Semoga bisa segera mencari chef yg bs masak.
",3 dari 5 lingkaran,Kamarnya kecil tapi bersih
"
saya menginap di ibis semarang pada akhir desember , waktu itu hotel lagi ramai kayaknya sehingga parkir harus di valet servis . jujur saya orang yang kurang suka memajai jasa valet servis.. karena repot kalau ada mau ambil barang dimobil . tapi karena parkir penuh ya terpaksa deh... tapi valet servisnya ok kok.. tidak ada barang yang hilang dimobil.",3 dari 5 lingkaran,"Lokasi yang bagus , lahan parkir yang sangat minim"
"
Minggu ketiga bulan Februari saya menginap di hotel Ciputra Semarang.",4 dari 5 lingkaran,Perlu ditingkatkan kebersihannya
"
Tanggal 16-17 Feb saya ada acara bisnis di Semarang,dan menginap di hotel Ciputra",4 dari 5 lingkaran,Serbada( serba ada)
"
Lokasi di pusat kota, dekat byk mall (beli oleh""&cuci mata), byk resto&pusat PKL (makan mudah), n dekat simpang 5 (wisata)",4 dari 5 lingkaran,Tidak mengecewakan
"
Disini, kita bisa dengan mudah kemana-mana di semarang. Posisi sangat strategis di pusat kota. Hotelnya memang lama tapi manajemen oleh swissbell. Kamar luas dan bersih serta disediakan juga sajadah untuk shalat dan terjemahan alquran di kamar, Untuk sarapan cukup lengkap menunya dan tinggal pilih. Oh ya ada pintu khusus akses ke mall di bawah hotel, Kalau ke semarang saya ingin kembali lagi ke sini,
",4 dari 5 lingkaran,posisi hotel di jantung kota semarang
"
Hotel baru yang berada tepat di pusat kota Semarang, dengan interior yang bagus dan kolam renang yang berada di rooftop memberikan sensasi lain. Hanya saja kamar hotel belum dilengkapi kulkas dan wifi tidak bisa digunakan.
",5 dari 5 lingkaran,Tempat yang mengagumkan untuk beristirahat
"
Saya sudah beberapa kali ke Semarang dan selalu menginap di hotel ini. Pertimbangan utama saya, karena lokasinya berada tepat di depan Simpang Lima Semarang. Lapangan Simpang Lima selalu ramai setiap malam. Saya sangat menikmati jalan berkeliling lapangan ini di malam hari. ",4 dari 5 lingkaran,Hotel Strategis di Simpang Lima Semarang
"
Hotel ini memang sudah lama tetapi masih terawat dan salah satu hotel bagus di semarang.karena letak strategis dan menyatu dengan mall ciputra.transport dan makanan mudah di dapatkan.saya senang menginap di sini bersama anak dan keluarga.
",5 dari 5 lingkaran,Hotel lokasi strategis
"
Hotel ini bisa dikatakan hotel tua atau lama. Namun lokasi yang dihadirkan sungguh memberikan pertimbangan. Berada di tepat simpang lima, spot terbaik di KOta Semarang. Bermalam di hotel ini memberikan kemudahan akses ke lokasi wisata yang ada di KOta ini. Tepat di depan ciputra hotel, terdapat kuliner terkenal di kota lumpia ini. Buka pada pukul 22.00 - 04.00
",3 dari 5 lingkaran,Lokasi Hotel Strategis
"
Lokasi sangat strategis dan dipusat kota semarang tepatnya di simpang lima semarang.. makanan enak dan bervariasi dan kamar nyaman dan bersih sangat bagus untuk liburan dan bisnis. pelayanan sangat ramah
",4 dari 5 lingkaran,Menginap Nyaman
"
Hotel berbintang lima ini adalah hotel lama di daerah simpang lima, Semarang. Namun karena dari luar terlihat megah dan berada dipusat kota, harganya menjadi ""agak"" terlalu mahal. Permasalahannya adalah saat ini sudah banyak hotel baru di Semarang yang memiliki lokasi tidak kalah strategis. Saat berkunjung kesana saya menginap di eksekutif room yang berada dilantai paling atas. Namun saat saya masuk agak kecewa karena kamar nya kecil untuk hitungan dana yang saya keluarkan. Yamungkin karena hotel lama, tapi terlepas dari itu kamarnya bersih, nyaman, kamar mandinya luar biasa, ada executive loungenya, layanan olah raga, kolam renang dan saunanya bagus. Karena itu secara garis besar hotel ini sangat baik, yang kurang hanyalah kamar yang terlalu kecil.
",3 dari 5 lingkaran,Fasilitas Memuaskan
"
Hotel Ciputra terletak di tengah kota di Simpang Lima. Tapi sayang hotel kurang rapi dan kamar tidak terlalu luas dibanding dengan harga. AC tidak dapat diatur, kadang panas dan dingin di pagi hari. Wifi cepat
",3 dari 5 lingkaran,Hotel d\ tengah kota
"
Lokasi hotel dengan dengan stasiun tawang dan pasar johar, tetapi lumayan jauh dr pusat kota dan di daerah yang sering banjir.",2 dari 5 lingkaran,Room 915 @ aston semarang
"
10 hari yang menyenangkan bisa menginap di hotel aston...pelayanan cepat dan tanggap..cuma jauh kemana2 atau cari makan malam..untuk menginap 3 malam makan ok..untuk 10 malam cukup bosan juga...tapi oke...next trip medan with grand aston city hall
",5 dari 5 lingkaran,Nice place to stay
"
Lokasi aston di kota lama.... agak jauh dari pusat kota, tapi worth it kok... jadi gak crowded dan relax...",3 dari 5 lingkaran,Relaxing place
"
Terletak di pusat keramaian Semarang yaitu Simpang Lima Semarang merupakan nilai plus dari hotel ini. Di luar hotel terdapat banyak tempat makan. Selain ini jika ingin k Mall CL tidak perlu keluar gedung karena langsung terhubung. Staff ramah. Sarapannya oke. Walaupun merupakan hotel lama tapi hotel ini terjaga dengan baik kebersihan dan kelayakan perabotnya.
",4 dari 5 lingkaran,Hotel berbintang yg strategis di pusat Kota Semarang
"
Ini yang ke empat kalinya saya stay di Ciputra Hotel, selalu menyenangkan krn lokasi strategis tapi sayang parkirnya sempit dan susah.. Kamar seperti biasa, nyaman dan bersih.. Yang paling mengecewakan kali ini adalah soal breakfast. Biasanya breakfastnya enak dan memuaskan tapi kali ini makanan sudah banyak kosong dan lama untuk diisi ulang, sosis dan kentang dingin dan keras, dan salad pun cuma sisa bawang bombay saja. Tolong ditingkatkan pelayanannya sehingga customer tidak kecewa dan tetap memilih Ciputra untuk kunjungan ke Semarang berikutnya
",4 dari 5 lingkaran,Perlu peningkatan layanan
"
Hotel ciputra ada di pusat kota semarang di simpanglima semarang.kamar yg menyenangkan, bagus,bersih,dan nyaman.resto juga ada di lantai 1 dan lantai 10 yg merupakan resto excecutive.menu makanan yg lengkap dan bervariasi antara pagi,siang dan malam.dari lantai 10 view kota semarang benar benar luar biasa.nampak lapangan simpanglima dan masjid baiturrahman.dari kamar lantai 6 pun kita sudah bisa melihat view yg bagus tsb.
",4 dari 5 lingkaran,View hotel ciputra
"
Nilai positif dari hotel ini adalah letaknya yg betul betul di pusat keramaian semarang, view ke simpang lima, akses langsung ke 2 mal sekaligus membuat hotel ini jadi pilihan utama ketika mengunjungi semarang, meskipun ruang fitness dan kolam renang kecil tapi cukup untuk memenuhi kebutuhan tamu hotel, sayang sekali, space parkir mobil sangat terbatas sehingga lebih baik request valet service.
",3 dari 5 lingkaran,Hotel dengan lokasi paling top
"
Kalau sedang disemarang dan ingin menginap disekitar simpang lima, Hotel ini bisa menjadi salah satu alternatif, meskipun area parkir kendaran di lobby yang sempit namun kamarnya lumayan luas.",4 dari 5 lingkaran,Hotel Tengah Kota Semarang
"
Saya nenginap di Hotel ini pada tanggal 21 Desember bersama Anak saya.",5 dari 5 lingkaran,Hotel Sesuai Ekspetasi
"
Yang saya suka menginap disini lokasinya sangat strategis menyatu dengan plaza, pelayanan yg ramah, kamar dan property kamarnya berkualitas membuat istirahat makin nyaman serta menu sarapan yang bervariasi dan lezat
",4 dari 5 lingkaran,Dikenal juga dengan nama Swiss-bel hotel Semarang
"
Anak anak paling bahagia acara mandi di bathtub nya.. walaupun hotel jadul tapi masih termasuk yg paling dapat diandalkan di semarang hingga saat ini.. breakfast nya pun cukup memuaskan, dengan variasi makanan yg sangat banyak..
",5 dari 5 lingkaran,Liburan yg menyenangkan
"
16 - 18 Desember 2015 saya dan teman menginap di htl Ciputra, Sungguh sangat membantu kami dengan menginap di sini karena pada saat itu kami harus bolak-balik ke RS Tlogorejo. dari hotel Ciputra kami mudah mau mencari makanan karena disekitar hotel dan rumah sakit kalau malam banyak pedagang2 makanan dan dsbrang hotel setiap hari mulai jam 11 malam ada penjual sego ayam yang wenak sekali, Kondisi hotel walaupun sudah agak lama tapi bersih dan nyaman. Kami rasa pilihan yang paling tepat adalah menginap di htl Ciputra Semarang kalau kita sedang berlibur di kota Semarang.
",4 dari 5 lingkaran,Sangat mudah untuk kemana-mana
"
ketika itu saya menginap untuk 2 malam di semarang karena tertinggal pesawat. setelah itu saya memesan hotel di situs online. lalu saya memilih ciputra swiss-bel hotel semarang. malam yang menyenagkan dan fasilitas yang baik.
",4 dari 5 lingkaran,Good View Simpang Lima
"
Hotel yang bagus. Akan tetapi perlu diperhatikan untuk drop point serta roomboy yang susah dicari pada saat check in. Selain itu juga hotel bintang 4 dimana untuk penambahan kunci kamar perlu deposit RP.50.000 ,hal ini bagi saya agak konyol tetapi mungkin sudah peraturan hotel. Untuk hal lainnya sudah bagus sekali. Recomend untuk family.
",4 dari 5 lingkaran,Nice hotel
"
Hotelnya enak, ga luas-luas banget tapi cukup memadai, ac dingin, terus dapet bathtube.. Di sini yang bikin keinget terus cuman wastafelnya gede abis, ga cocok ama toiletnya yang sempit, jadi terasa sempit banget, karena wastafelnya yang oversized... Berhubung kamar mandinya spacenya terbatas, mbok ya kecilin dikit keleuss wastafelnya... ^^ Kolam renang standar, ada tempat fitnes juga samping swimming pool, makanannya juga enak.. pelayanan ramah.. cuman kemana2 susah karena agak ujung... lokasi deket pusat oleh2 wingko babat kereta api yang legendaris itu... jalan dikit nyampe deh...
",4 dari 5 lingkaran,Hotel deket Stasiun Tawang Dengan Wastafel Segede Gaban
"
Buat breakfast nya variannya banyak.. Pagi pagi ada yg anget wedang ronde.. Terussss ada menu ayam taliwang, tongseng.. Pilihan nasinya ada nasi merah..buat juice nya enak bangetttt fav juice kiwi ama nanas..komposisi air sm buahnya pas.. Smp tambah tambah hahahaaa....",5 dari 5 lingkaran,Nginap di aston oke punya
"
1.bell boy tidak tanggap dengan kedatangan tamu",4 dari 5 lingkaran,Masukan untuk ASTON SEMARANG untuk lebih excellent
"
Breakfast yang sangat lengkap ,tradional food yang banyak varian .. Staff yang sangat ramah dan baik .. Tingkatkan dan perlengkap fasilitas hotel .. Seperti pool harus ada lokernya ...",5 dari 5 lingkaran,Breakfast yang bagus
"
Menyenagkan sekali tinggal disini,mulai security hingga receptionist sgt ramah..cm 1 tv diletak diatas jd pegel kl nntn nya..overall puas.kamar yg unik bs jd cth kl punya rumah menerapkan kamar spt hotel ini..sarapan jg rnak.khas semarang sekali..mungkin lain kl bs variasi..makanan diambil meminimaliskan utk wisatawan ambil dan tidak dimakan..oh ya utk room service kl bs jng diatas jam 1,krn itu jam org istirahat..tp overall saya puas dan png mengulang kembali
",4 dari 5 lingkaran,Great vacation
"
Kolam renang kecil untuk hotel sekelas ciputra. Tempat gymnya juga demikian. ",4 dari 5 lingkaran,Kolam renang dan gym kecil
"
Cocok yang mencari hotel bintang 5 di pusat kota tepat di simpang lima semarang,",4 dari 5 lingkaran,Hotel Bintang 5 di Simpang Lima
"
Meski hotelnya keliatannya sudah lama, tapi kesan indah dan elegan masih tetap ada... kamarnya luass.. dan bersih... kolam renangnya sih standar yah... cuman pelayanan dan restonya memuaskann.. rekomended lah... terus kalo malem... kawasan simpang lima.. berjibun cemilan2 malam ada di sana... maknyuuss... nempel lagi ama citraland.. sama banget lah bentuk2nya ama kayak yang di jakarta..
",4 dari 5 lingkaran,Hotel Berbintang Di Simpang Lima Semarang
"
Disini saya datang di acara Tribute to the Beatles. Malam itu kedatangan G-Pluck dari Bandung. Sperti yg saya lihat Hotel ini berdekatan dengan pusat perbelanjaan. DI daerah SIpang Lima yg sangat terkenal.
",5 dari 5 lingkaran,Hotel keren
"
Hotel ini berlokasi di Simpang Lima Semarang. Anda tidak akan kesulitan transportasi untuk mengakses lokasi hotel ini ataupun akan bepergian kemana saja. Jika malam tiba, anda ingin berwisata kuliner, anda tinggal menyeberang jalan depan hotel, anda bisa memilih aneka makanan khas Jawa Tengah yg ada di deretan warung-warung.
",5 dari 5 lingkaran,Hotel Mewah Lokasi Strategis
"
hotelnya terletak dipusat kota dan pusat jajanan bisa dilakukan dengan jalan kaki atau menggunakan kendaraan umum terlebih lagi hotel menyatu dengan mall yg cukup lengkap, pelayanan juga ramah dan cepat.
",4 dari 5 lingkaran,Hotel yang nyaman
"
Hotel ini terletak di wilayah yang sangat strategis yakni di jalan simpang lima yang merupakan ikon dari kota semarang. Hotel ini pun memiliki akses ke mall ciputra yang terdapat di belakang hotel. Pelayannya ok. Restorannya sempit, padahal meja sudah ditambah sampai ke luar restoran (di depan lift). Makanannya kurang variatif dan ada beberapa yand habis dan membutuhkan waktu yang cukup lama sekali mengisi kembali makanan atau minuman tersebut. Kamarnya bersih dan rapih. wi-fi di kamar berbeda
",3 dari 5 lingkaran,Hotel Ciputra Semarang
"
Hotel berlokasi di jalan simpang lima dan menempel dengan mall ciputra.",4 dari 5 lingkaran,Hotel lama yang terjaga
"
hotel ciputra merupaka hotel lama dengan letak di simpang lima, hotel ini menyatu dengan mall ciputra, untuk pelayanan dan fasilitas hotel cukup oke, akses transportasi mudah, kebersihan dan kenyamanan terjaga
",3 dari 5 lingkaran,HOTEL TEMPAT STRATEGIS
"
Hotel yang menurut saya sangat nyaman dan bersih dengan desain modern minimalis, walaupaun kamar yang lumayan kecil namun tidak mengurangi tingkat kenyamannya....Sarapannya jg lumayan enak...klo Anda ingin jalan-jalan ke Mall tinggal menyeberang jalan aja akan dijumpai Paragn Mall...disampingnya juga ada tempat Refleksi keluarga..
",3 dari 5 lingkaran,Modern Minimalis Hotel di Semarang
"
Hotel Ciputra terletak di lokasi yang strategis di Semarang dan dekat dengan pusat keramaian. Pelayanan para petugas hotel baik dan ramah. Kamarnya bersih dengan interior yang baik juga. Saya dapat tidur dengan baik.",4 dari 5 lingkaran,Hotel yang baik di Simpang Lima Semarang
"
dr segi kamar rapi bersih,chanel tv kabel dikit, dekat dgn mall paragon,wifi payah poor sinyal cm 1 garis strip pdhal sdh mnta tolong sm receptionist nya d betulin sinyal wifinya, sarapan variasi sedikit, untung pk traveloka murah cm 2 hari klo langsung gg recomended deh
",2 dari 5 lingkaran,Lumayan
"
Hotel ini saya tinggali 3 hari setelah tahun baru, sangat puas dengan layanannya, kamarnya sangat nyaman, Bersih, TV kabel yang cukup lengkap, sangat ramah staffnya, dan yang paling penting tempatnya strategis, kita cukup menyebrang jalan untuk menuju paragon mall atau jalan kaki ke lawang sewu dan ke mana mana bisa naik becak. Hanya hotel ini tidak menyediakan parkir yang representative untuk mobil yang berukuran besar. Ketika itu saya bawa mobil van Hiace yang berukuran cukup besar mereka tidak bisa menyediakan tempat parkir untuk mobil saya. Security hanya menawarkan untuk parkir di ruko seberang jalan yang menurut saya kurang aman dan ketika saya tolak, saya merasa securitynya kurang ramah. Atau mungkin dia berharap fee dari jasa parkirnya. Karena kekurang ramahan itu akhirnya saya parkir vallet selama 24 jam di paragon. Jadi kesimpulannya tidak ada masalah dengan layanan dan fasilitas hotel hanya mungkin petugas sekuriti kurang ramah dan selalu berharap tip dari tamu.
",4 dari 5 lingkaran,Sesuai dengan harga dan Di tengah kota Semarang
"
kebetulan nersama keluarga ke semarang dan cari hotel yg dekat mall paragon, akhirnya pilih whiz hotel, hotel bagus bersih pelayanan ramah meski agak sempit sih...",3 dari 5 lingkaran,liburan keluarga
"
AC dan pemanas air bekerja sangat baik. ",3 dari 5 lingkaran,Super minimalis tetapi nyaman
"
Louis Kienne Hotel merupakan hotel yang terletak di tengah pusat kota Semarang yaitu di daerah Simpang Lima yang memudahkan kita untuk akses ke setiap tempat yang mau kita kunjungi di Kota Semarang. ",4 dari 5 lingkaran,Pengalaman di Louis Kienne Hotel
"
Hotel dengan konsep minimalis... Koridor kamar agak kecil.. Interior kamar lumayan bagus.. Tapi pelayanan pada saat chek in lama banget.. Agak kecewa waktu itu sy uda reservasi via webnya dan uda confirm eh sampai dihotel bukannya langsung diproses malah ngomong kalo reservasiku blm ada bagaimana bisa.. Dan anehnya ketika ada wni yg mencari kamar pegawainya ngomong klo kamar uda full dan pada saat bersamaan ada wna yg cari kamar langsung deh dilayani dengan baik dan mngatakan kamar trsedia.. Pdhl wna blm reservasi apapun... Klo hotel ini dikususkan untuk wna tolong dipajang stiker yg besar dilobby hotel khusus wna.. Bukan cuma itu aja yg reservasi via traveloka jg mngalami hal yg sama.. Tolong pelayanannya diperbaiki...
",3 dari 5 lingkaran,Hotel yang masih baru...
"
Hotel nya bersih dan baru, dekat dgn simpang lima semarang hanya dgn berjalan kaki sampai ke simpang lima. Dekat dgn pusat perbelanjaan, begitu jg dgn yg membutuhkan makanan, sangat dekat dgn pusat makanan di simpang lima. Utk kamar tidur nyaman dgn tempat tidur double yg besar, cocok utk yg membawa anak jadi tidak perlu extra bed. Hanya saja utk resto breakfast tempat nya terlalu sempit, menu nya jg kurang variasi. Ada tambahan utk breakfast Rp.50.000,- /anak. Lantai kamar mandi dgn kamar pun terlalu pendek shg mudah air ke luar, walaupun pintu kamar mandi nya tertutup. Yang paling menarik dari hotel ini adalah rooftop swimming pool nya terletak di lantai paling atas, berenang dgn pemandangan simpang lima yg luar biasa. Terdapat kolam anak jg di hotel ini.
",3 dari 5 lingkaran,Berlibur di Semarang 
"
Wifi putus terus..masalah autentikasi Sampe jengkel, gak nyambung2. Gak bisa konek..katanya wifi sampe kamar2, ternyata nggak nyambung.jelek banget.bikin kapok aja. Beda sama hotel sebelah..",1 dari 5 lingkaran,Jelek
"
Pertama nginep di hotel ini sangat puas krn pasangan saya menyukainya.ada kolam renangnya di atas gedung.viewnya sekitar simpanglima.yg begitu istimewa adalah tempat tidurnya.sangat besar dan nyaman untuk beristirahat..
",5 dari 5 lingkaran,Oke
"
Letak hotel ini pas di simpanglima semarang, jadi akses mudah dan gampang, apalagi sekarang ada halte BRT didepan hotel persis.",4 dari 5 lingkaran,Hotel di Simpanglima
"
Hotel ini bernilai plus karena menyatu dengan Mall Ciputra dan terletak di jantung kota Semarang yaitu Simpang Lima. Kekurangan hotel ini akses masuk kendaraan ke hotel sangat sempit dan antri lama, karena berhimpitan dengan lahan parkir hotel. Begitupun lobby hotel yang kecil sehingga terasa riuh antara tamu yang check-in, check-out, dan yang akan bersantai di lobby. Jadi rasanya tidak pas kalau bernilai bintang 5. Kalau kamar bagus, bersih, dan cukup terang. Petugas pun ramah dan sabar dalam melayani tamu, apalagi saat peak season lebaran
",4 dari 5 lingkaran,HOTEL BINTANG LIMA DI LOKASI YANG STRATEGIS
"
Bulan Juni - Juli lalu saya menghabiskan total 2 minggu bermalam di tempat ini, seminggu di lantai merokok, seminggu di lantai non smoking. Hotel ini sangat strategis karena terletak tepat di simpang lima. selain itu hotel ini memiliki akses langsung ke mall ciputra. ",3 dari 5 lingkaran,Hotel Strategis Minim Lahan Parkir
"
Hotel ini lokasinya keren, pas disalah satu sudut simpang lima, bergabung dengan mal.",3 dari 5 lingkaran,"lokasi bagus, parkir susah"
"
Udara yg hangat menyapa kota semarang...jarak bandara dan hotel tdk jauh hanya memerlukan wkt 1/2 jam, hotel ini berdampingan dgn mall Ciputra yg buka hingga pkl 09.30 mlm, kesempatan belanja pasti tdk dilewatkan unt urusan mkn mlm pilihan byk terdpt di mall mulai menu asli semarang sampai yg modern ada.",4 dari 5 lingkaran,2 mlm di ciputra
"
Dekat dari mana-mana! itulah pengalaman menginap di Hotel Ciputra Semarang. Akses transportasi mudah, sangat dengat dengan pusat kuliner yang tersohor yaitu simpang lima. Pelayanan hotelnya sendiri sangat bagus.
",5 dari 5 lingkaran,Hotel Cozy di Jantung kota Semarang
"
lokasi yang sangat strategis di pusat kota semarang. dekat dengan banyak obyek wisata khas semarang. dapat diakses dengan mudah. hotel bersebelahan dengan mall. bahkan ada pintu langsung dari hotel ke mall. kondisi ruangan sudah tua tapi tetap bagus. makanan ketika breakfast banyak pilihan dan enak. hanya parkirannya sangat sempit
",4 dari 5 lingkaran,Lokasi strategis
"
Lokasi hotel ini di simpang lima di pusat wisata kota semarang",4 dari 5 lingkaran,Lokasi bagus
"
Recommended place to stay. Ruangan kamar luas dan interiornya cantik. Fasilitas hotel komplit. Makanan yang lezat. Skypool yang lumayan luas dan cantik di lantai 23. Rekomendasi: request kamar di lantai atas. View dari kamar di lantai 16 sangat cantik.
",4 dari 5 lingkaran,Great place to stay in Semarang
"
Dari sekian banyak hotel dikawasan simpang lima, menurut saya hotel ini yang paling strategis lokasinya. Langsung menghadap ke lapangan simpang lima dan terintegrasi dengan mall. Sayangnya keunggulan lokasi ini tidak dibarengi dengan peningkatan fasilitas dan layanan. Area parkir yang sempit, dan bangunan hotel yang mulai tampak tua. Kamar nya sempit, TV nya kecil dan karpetnya udah kusam.
",3 dari 5 lingkaran,"Lokasi premium, banyak tapinya.."
"
Saya menginap di hotel ini dalam rangka kedinasan. Hotel ini terletak di pusat keramaian Kota Semarang, lebih tepatnya di Simpang Lima. Sebuah hotel yang bersih dan nyaman serta memberikan konsep hidangan yang istimewa. Hotel ini juga berdekatan dengan pusat perbelanjaan kota Semarang. At least saya puas dengan hotel ini.
",4 dari 5 lingkaran,3 Malam di Semarang yang Berkesan
"
Perabot ok,ranjang 220cm, view ok, makan pagi jangan diharapkan sesuai bintang. Pelayanan bintang 1, jangan mengharapkan terlalu lebih untuk pelayanan.apakah ariya lain sama standarnya? Klo yang penting tidur, nyaman n simpang Lima rekomen dipilih.
",3 dari 5 lingkaran,Big size bed
"
sistem depositnya tidak ter-record sistematis. setelah check out, resepsionis tidak mengecek deposit tamu. kalau tidak diingatkan, resepsionis tidak mengembalikan deposit. lokasi breakfastnya cukup jauh dan menunya tidak banyak. menurut saya hotel ini hanya pas untuk tidur saja, tidak cocok untuk keperluan bisnis luar kota
",3 dari 5 lingkaran,bagus untuk tidur saja
"
Saya seringkali nginep di hotel ini kalo ada urusan bisnis di Semarang.",4 dari 5 lingkaran,"Tempatnya asik, nyaman, dan damai"
